distance,regular,discounted
1,12.00,9.50
2,12.00,9.50
3,12.00,9.50
4,12.00,9.50
5,12.00,9.50
6,14.25,11.25
7,16.50,13.00
8,18.50,15.00
9,20.75,16.75
10,23.00,18.50
11,25.25,20.25
12,27.50,22.00
13,29.50,23.75
14,31.75,25.50
15,34.00,27.25
16,36.25,29.00
17,38.50,30.75
18,40.50,32.50
19,42.75,34.25
20,45.00,36.00
21,47.25,37.75
22,49.50,39.50
23,51.50,41.25
24,53.75,43.00
25,56.00,44.75
26,58.25,46.50
27,60.50,48.25
28,62.50,50.00
29,64.75,51.75
30,67.00,53.50
31,69.25,55.25
32,71.50,57.00
33,73.50,59.00
34,75.75,60.75
35,78.00,62.50
36,80.25,64.25
37,82.50,66.00
38,84.50,67.75
39,86.75,69.50
40,89.00,71.25
41,91.25,73.00
42,93.50,74.75
43,95.50,76.50
44,97.75,78.25
45,100.00,80.00
46,102.25,81.75
47,104.50,83.50
48,106.50,85.25
49,108.75,87.00
50,111.00,88.75
51,113.25,90.50
52,115.50,92.25
53,117.50,94.00
54,119.75,95.75
55,122.00,97.50
56,124.25,99.25
57,126.50,101.00
58,128.50,103.00
59,130.75,104.75
60,133.00,106.50
